Name, Credits, Course Code, Advanced, Unlocks, Needs
Algebra I, 5, 1MA004, 0, , Baskurs i matekatik + Introduktion till matemematikstudier / Geometri och analys I
Algebra II, 5, 1MA006, 0, , Algebra I
